"구분
Division",,,계,,,,,20세,,,,,30세,,,,,40세,,,,,50세,,,,,60세,,,,,70세,,,,
,,,계,"우울
증상이
없음","가벼운
우울
증상","중간정도
우울증
의심","심한
우울증
의심",계,"우울
증상이
없음","가벼운
우울
증상","중간정도
우울증
의심","심한
우울증
의심",계,"우울
증상이
없음","가벼운
우울
증상","중간정도
우울증
의심","심한
우울증
의심",계,"우울
증상이
없음","가벼운
우울
증상","중간정도
우울증
의심","심한
우울증
의심",계,"우울
증상이
없음","가벼운
우울
증상","중간정도
우울증
의심","심한
우울증
의심",계,"우울
증상이
없음","가벼운
우울
증상","중간정도
우울증
의심","심한
우울증
의심",계,"우울
증상이
없음","가벼운
우울
증상","중간정도
우울증
의심","심한
우울증
의심"
계,합계,Total,"2,099,509","1,683,430","308,916","99,363","7,800","97,405","71,278","17,314","7,988",825,"296,599","215,232","59,479","20,546","1,342","455,576","343,388","84,480","25,897","1,811","486,337","396,218","68,533","20,029","1,557","508,506","431,845","57,000","18,075","1,586","255,086","225,469","22,110","6,828",679
Total,남자,M,"1,035,815","859,956","135,066","38,029","2,764","33,347","25,865","5,076","2,187",219,"162,571","126,854","27,513","7,804",400,"243,302","186,699","43,695","12,157",751,"241,425","203,559","29,805","7,483",578,"235,296","207,668","21,043","6,039",546,"119,874","109,311","7,934","2,359",270
,여자,F,"1,063,694","823,474","173,850","61,334","5,036","64,058","45,413","12,238","5,801",606,"134,028","88,378","31,966","12,742",942,"212,274","156,689","40,785","13,740","1,060","244,912","192,659","38,728","12,546",979,"273,210","224,177","35,957","12,036","1,040","135,212","116,158","14,176","4,469",409
서        울,합계,S.T,"380,980","294,725","63,908","20,743","1,604","16,784","11,539","3,366","1,689",190,"67,486","46,752","14,995","5,377",362,"79,511","57,663","16,453","5,048",347,"83,200","65,607","13,449","3,847",297,"85,966","71,544","10,823","3,322",277,"48,033","41,620","4,822","1,460",131
Seoul,남자,M,"177,328","143,807","25,866","7,141",514,"5,612","4,189",933,442,48,"31,766","23,999","5,970","1,714",83,"40,508","30,154","8,021","2,192",141,"39,934","32,842","5,635","1,347",110,"37,370","32,650","3,652",988,80,"22,138","19,973","1,655",458,52
,여자,F,"203,652","150,918","38,042","13,602","1,090","11,172","7,350","2,433","1,247",142,"35,720","22,753","9,025","3,663",279,"39,003","27,509","8,432","2,856",206,"43,266","32,765","7,814","2,500",187,"48,596","38,894","7,171","2,334",197,"25,895","21,647","3,167","1,002",79
부        산,합계,S.T,"142,181","116,995","18,915","5,812",459,"6,282","4,842",991,406,43,"17,740","13,243","3,341","1,100",56,"29,674","23,019","5,067","1,495",93,"29,926","24,737","3,993","1,097",99,"37,406","32,211","3,875","1,201",119,"21,153","18,943","1,648",513,49
Busan,남자,M,"68,404","57,921","8,081","2,240",162,"2,029","1,618",285,112,14,"9,350","7,430","1,513",394,13,"15,663","12,367","2,529",725,42,"14,589","12,416","1,704",435,34,"16,749","14,883","1,431",400,35,"10,024","9,207",619,174,24
,여자,F,"73,777","59,074","10,834","3,572",297,"4,253","3,224",706,294,29,"8,390","5,813","1,828",706,43,"14,011","10,652","2,538",770,51,"15,337","12,321","2,289",662,65,"20,657","17,328","2,444",801,84,"11,129","9,736","1,029",339,25
대        구,합계,S.T,"98,254","80,542","13,417","4,015",280,"4,429","3,484",633,288,24,"13,035","9,619","2,503",865,48,"20,602","15,844","3,664","1,034",60,"23,389","19,326","3,177",820,66,"24,097","20,809","2,476",755,57,"12,702","11,460",964,253,25
